A/A;Κωδικός;Κωδ.εργοστασίου;Περιγραφή;Ομάδα;Υποομάδα;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Ποσ.1;Αξία;Κόστος απογραφής;Κόστος πωληθέντων;Αξία πωληθέντων;Κόστος υπολοίπου;Συντελεστής Μ.Κ.;
1;000001;ΜΙΚΡΟΥΛΙΚΑ- ΛΟΙΠΑ;ΜΙΚΡΟΥΛΙΚΑ -ΚΑΛΩΔΙΑ -ΛΟΙΠΑ -ΑΝΑΛΩΣΙΜΑ;ΛΟΙΠΑ;ΛΟΙΠΑ ΠΑΡΕΛΚΟΜΕΝΑ;4.405,00;5.277,20;0,00;0,00;0,00;0,00;578,00;10.652,36;753,00;111.445,37;4.983,00;15.929,56;753,00;111.445,37;4.230,00;4.902,59;5.277,20;3.584,05;111.445,37;4.901,56;96,78;
2;000056;ADSDUHOC;SpeedDome Ultra series outdoor dome housing. Clear bubble;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;1,00;285,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;285,35;0,00;0,00;1,00;285,35;285,35;0,00;0,00;285,35;0,00;
3;000132;RHOSW;"Dome mount, SpeedDome Ultra (indoor) / Optima (indoor/outdoor), wall, 11"" (28.2 cm); also Compatible with the illustra Flex IR P";CCTV;MOUNTS/PLATES/BRACKETS/BOXES;7,00;721,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;721,21;0,00;0,00;7,00;721,21;721,21;0,00;0,00;721,21;0,00;
4;000133;RHOLW;"Dome mount, SpeedDome Ultra (indoor) / Optima (indoor/outdoor), wall, 23"" (58.7 cm); also Compatible with the illustra Flex IR P";CCTV;MOUNTS/PLATES/BRACKETS/BOXES;60,00;6.991,32;0,00;0,00;0,00;0,00;0,00;6.849,36;2,00;0,00;60,00;13.840,68;2,00;0,00;58,00;7.315,42;6.991,32;0,00;0,00;7.315,45;0,00;
5;000134;RHOWCA;Dome mount, corner bracket adapter, use with RHOSW or RHOLW;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;7,00;360,34;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;360,34;7,00;0,00;0,00;0,00;360,34;0,00;0,00;0,00;0,00;
6;000135;RHOWPA;Dome mount, pole adapter, use with RHOSW or RHOLW;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;64,00;8.245,25;0,00;0,00;0,00;0,00;0,00;6.936,84;2,00;0,00;64,00;15.182,09;2,00;0,00;62,00;7.966,49;8.245,25;0,00;0,00;7.966,47;0,00;
7;000142;ADTT16E;Controller, Touch Tracker, SensorNet, controls up to 16 cameras/domes. English. Euro power cord;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;1,00;309,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;309,21;0,00;0,00;1,00;309,21;309,21;0,00;0,00;309,21;0,00;
8;000151;RJ6SN;Dome J-Box, indoor, 6-position, SensorNet, 120/230 VAC;CCTV;MOUNTS/PLATES/BRACKETS/BOXES;2,00;489,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;489,68;0,00;0,00;2,00;489,68;489,68;0,00;0,00;489,68;0,00;
9;000648;MUSB-1WHT;Surface mounting box to use with the KT-100 Mini Door Controller;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;9,00;53,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;53,09;0,00;0,00;9,00;53,09;53,09;0,00;0,00;53,09;0,00;
10;000653;KT-300PCB128;Door Controller with128kB memory (PCB only) and accessory kit KT-300ACC;ACCESS CONTROL;ΚΕΝΤΡΙΚΕΣ ΜΟΝΑΔΕΣ/CONTROLLERS ACCESS;2,00;748,54;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;748,54;0,00;0,00;2,00;748,54;748,54;0,00;0,00;748,54;0,00;
11;000956;STAR-PS;Replacement Power Supply, 12V – 60 Watt;ΛΟΙΠΑ;ΤΡΟΦΟΔΟΤΙΚΑ;1,00;93,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;93,25;0,00;0,00;1,00;93,25;93,25;0,00;0,00;93,25;0,00;
